AUTOEVOLVE_GENERATED_100_SEED_730209

VEHICLE
NUMBER     CAPACITY
   100           60

CUSTOMER
CUST NO.  XCOORD.  YCOORD.  DEMAND  READY TIME  DUE DATE  SERVICE TIME

         0         50         50          0          0      12232          0
         1         60         94          1         40        185          9
         2         83         45          7        131        291          9
         3         65         84          7        191        292          7
         4          5         59          7        293        441          9
         5         45         17          4        378        484          5
         6         76         36          7        427        550          5
         7         24         15          8        515        669          7
         8         30         13          7        524        650          5
         9         86         92          5        658        822          7
        10         54         55          2        744        923          9
        11         70         37          4        781        929          5
        12         57         64          8        836        957          5
        13         95         53          9        884        999          7
        14         69         71          1        929       1030          5
        15         60         54          7        970       1099          7
        16         88         40          5       1013       1170          9
        17         13         25          3       1106       1282          7
        18         73         14          5       1194       1293          9
        19         48         72          8       1280       1432          5
        20         14         22          2       1379       1469          9
        21         30         90          8       1466       1630          9
        22         69         33          1       1565       1680          7
        23         67         91          2       1642       1743          5
        24         71         17          4       1719       1864          5
        25         52         13          4       1741       1871          5
        26         57         65          5       1813       1951          7
        27         91         27          9       1886       1991          5
        28         46         74          1       1993       2140          7
        29         29         40          5       2045       2195          9
        30         83         45          2       2107       2252          5
        31         28         63          5       2195       2300          5
        32         64         74          7       2241       2371          9
        33         26          8          7       2348       2526          5
        34         27         59          5       2415       2590          5
        35         52         17          8       2481       2590          5
        36          5         43          5       2569       2692          7
        37         74         55          5       2651       2804          7
        38         79          6          4       2706       2866          7
        39         74         66          2       2788       2960          9
        40         81         48          8       2816       2970          5
        41         82          7          4       2857       3037          7
        42         27         27          9       2949       3088          5
        43         29         44          1       2967       3081          7
        44         89         70          8       3070       3178          5
        45         59         80          2       3109       3232          7
        46         81         63          4       3149       3321          9
        47         53         50          9       3209       3350          5
        48         40          6          9       3265       3443          9
        49         89         26          1       3337       3439          5
        50         82         94          6       3427       3541          5
        51         14         11          2       3577       3688          7
        52         38         57          5       3664       3782          5
        53         53         49          3       3686       3793          7
        54         65         19          6       3729       3842          9
        55         20         89          1       3863       3988          5
        56         40         40          6       3931       4078          5
        57         26         74          4       3978       4158          9
        58          9         92          8       4032       4146          9
        59         87         94          2       4115       4241          9
        60         31         47          5       4237       4414          9
        61         79         41          1       4294       4429          7
        62         14         89          8       4408       4587          5
        63         22         82          7       4438       4579          9
        64         75         39          8       4537       4632          9
        65         91         76          3       4593       4683          5
        66         29         83          1       4677       4825          9
        67         76         62          9       4748       4848          5
        68         87         82          2       4794       4943          7
        69          7         55          7       4902       5042          9
        70         81          7          8       5027       5177          9
        71         48         74          3       5146       5284          5
        72         55         47          5       5179       5315          5
        73         88         63          7       5227       5340          7
        74         66          6          6       5323       5426          9
        75         87         19          5       5360       5539          5
        76         86         43          1       5400       5493          9
        77         67         24          8       5441       5609          7
        78         13         32          3       5504       5647          7
        79         81         48          6       5605       5761          9
        80         94         75          8       5648       5762          7
        81         25         78          7       5721       5889          5
        82         18         12          5       5809       5948          9
        83         33         88          3       5903       6025          9
        84          6         14          3       6023       6135          5
        85         88         73          6       6163       6302          7
        86          8         89          7       6260       6414          9
        87         31         30          7       6361       6533          5
        88         25         21          6       6375       6515          9
        89         30         93          2       6455       6608          9
        90         91         43          3       6585       6759          5
        91         90         72          6       6614       6745          7
        92         18         88          7       6719       6847          5
        93         11         33          2       6780       6905          7
        94         25         36          2       6798       6904          9
        95          9          6          1       6863       6991          5
        96         41         62          1       6950       7061          7
        97         39         57          4       6958       7090          9
        98         52          8          9       7039       7130          9
        99         10         14          9       7090       7224          5
       100         52         71          3       7204       7367          5
